ID_Client,Client,Genre,Age,Type_Client,Ville,Indice_HCP
0,Sami,Homme,52,Fidèle,Marrakech,80
1,Adil,Homme,47,Fidèle,Kénitra,65
2,Lamia,Femme,60,Fidèle,Agadir,70
3,Saad,Homme,44,Nouveau,Marrakech,80
4,Keltoum,Femme,26,Fidèle,Tanger,75
5,Mehdi,Homme,46,Nouveau,Kénitra,65
6,Keltoum,Femme,29,Nouveau,Agadir,70
7,Bahia,Femme,30,Nouveau,Tanger,75
8,Reda,Homme,24,Fidèle,Tanger,75
9,Bouchra,Femme,34,Fidèle,Laâyoune,55
10,Malika,Femme,40,Fidèle,Salé,75
11,Ayoub,Homme,30,Nouveau,Kénitra,65
12,Meryem,Femme,36,Nouveau,Agadir,70
13,Nouamane,Homme,46,Nouveau,Kénitra,65
14,Randa,Femme,68,Nouveau,Mohammedia,85
15,Driss,Homme,27,Nouveau,Tanger,75
16,Karim,Homme,60,Nouveau,Salé,75
17,Marouane,Homme,49,Nouveau,Agadir,70
18,Nisrine,Femme,43,Nouveau,Kénitra,65
19,Basma,Femme,35,Nouveau,Marrakech,80
20,Ghali,Homme,67,Fidèle,Marrakech,80
21,Brahim,Homme,60,Nouveau,Casablanca,95
22,Ghita,Femme,65,Nouveau,Oujda,50
23,Hasna,Femme,32,Nouveau,Fès,60
24,Zineb,Femme,44,Nouveau,Rabat,90
25,Taha,Homme,46,Nouveau,Meknès,60
26,Ilyas,Homme,20,Fidèle,Marrakech,80
27,Souad,Femme,52,Nouveau,Casablanca,95
28,Mounir,Homme,22,Nouveau,Marrakech,80
29,Oumaima,Femme,45,Fidèle,Agadir,70
30,Jaouad,Homme,51,Nouveau,Casablanca,95
31,Youssef,Homme,53,Nouveau,Salé,75
32,Meriem,Femme,25,Nouveau,Oujda,50
33,Nawal,Femme,67,Nouveau,Marrakech,80
34,Meriem,Femme,23,Nouveau,Kénitra,65
35,Bahia,Femme,67,Nouveau,Oujda,50
36,Said,Homme,37,Fidèle,Laâyoune,55
37,Nisrine,Femme,30,Nouveau,Marrakech,80
38,Salma,Femme,41,Nouveau,Laâyoune,55
39,Anwar,Homme,58,Nouveau,Tanger,75
40,Ali,Homme,50,Fidèle,Tanger,75
41,Jaouad,Homme,62,Nouveau,Tanger,75
42,Ayoub,Homme,61,Fidèle,Marrakech,80
43,Yassine,Homme,65,Nouveau,Mohammedia,85
44,Soufiane,Homme,47,Fidèle,Meknès,60
45,Brahim,Homme,67,Nouveau,Marrakech,80
46,Amine,Homme,36,Nouveau,Meknès,60
47,Wiam,Femme,53,Fidèle,Kénitra,65
48,Hajar,Femme,30,Nouveau,Tanger,75
49,Ayoub,Homme,33,Nouveau,Oujda,50
50,Meryem,Femme,22,Fidèle,Oujda,50
51,Soukaina,Femme,66,Nouveau,Oujda,50
52,Nadia,Femme,52,Nouveau,Marrakech,80
53,Nouzha,Femme,33,Nouveau,Fès,60
54,Latifa,Femme,67,Nouveau,Rabat,90
55,Randa,Femme,35,Nouveau,Mohammedia,85
56,Brahim,Homme,21,Nouveau,Casablanca,95
57,Meryem,Femme,35,Fidèle,Salé,75
58,Saad,Homme,30,Nouveau,Oujda,50
59,Hasna,Femme,66,Nouveau,Oujda,50
60,Brahim,Homme,35,Nouveau,Rabat,90
61,Mohamed,Homme,68,Nouveau,Rabat,90
62,Omar,Homme,20,Nouveau,Agadir,70
63,Hicham,Homme,64,Nouveau,Marrakech,80
64,Brahim,Homme,38,Nouveau,Salé,75
65,Meryem,Femme,50,Nouveau,Agadir,70
66,Noureddine,Homme,50,Nouveau,Mohammedia,85
67,Othmane,Homme,62,Nouveau,Mohammedia,85
68,Karim,Homme,52,Nouveau,Kénitra,65
69,Bahia,Femme,43,Fidèle,Rabat,90
70,Kenza,Femme,30,Nouveau,Kénitra,65
71,Khadija,Femme,30,Nouveau,Agadir,70
72,Nouzha,Femme,58,Fidèle,Mohammedia,85
73,Asmae,Femme,54,Fidèle,Oujda,50
74,Mounir,Homme,66,Nouveau,Rabat,90
75,Anas,Homme,43,Nouveau,Salé,75
76,Fatima,Femme,49,Nouveau,Salé,75
77,Ismail,Homme,39,Fidèle,Kénitra,65
78,Reda,Homme,64,Fidèle,Tanger,75
79,Fatima,Femme,22,Nouveau,Meknès,60
80,Latifa,Femme,28,Nouveau,Marrakech,80
81,Ahmed,Homme,68,Nouveau,Oujda,50
82,Zakaria,Homme,42,Nouveau,Meknès,60
83,Aissam,Homme,31,Nouveau,Casablanca,95
84,Layla,Femme,66,Fidèle,Agadir,70
85,Latifa,Femme,67,Fidèle,Rabat,90
86,Hassan,Homme,40,Fidèle,Oujda,50
87,Ikram,Femme,56,Nouveau,Salé,75
88,Taha,Homme,63,Nouveau,Rabat,90
89,Intissar,Femme,51,Nouveau,Salé,75
90,Hajar,Femme,67,Nouveau,Agadir,70
91,Khadija,Femme,23,Nouveau,Kénitra,65
92,Zineb,Femme,54,Nouveau,Mohammedia,85
93,Said,Homme,45,Nouveau,Oujda,50
94,Kenza,Femme,47,Fidèle,Mohammedia,85
95,Fouad,Homme,43,Nouveau,Agadir,70
96,Hicham,Homme,23,Nouveau,Fès,60
97,Malika,Femme,53,Nouveau,Laâyoune,55
98,Mustapha,Homme,42,Nouveau,Laâyoune,55
99,Yassine,Homme,68,Fidèle,Laâyoune,55
100,Khalid,Homme,62,Nouveau,Fès,60
101,Amine,Homme,28,Nouveau,Kénitra,65
102,Safae,Femme,47,Nouveau,Agadir,70
103,Basma,Femme,35,Nouveau,Salé,75
104,Ranya,Femme,30,Fidèle,Marrakech,80
105,Hamza,Homme,29,Fidèle,Tanger,75
106,Touria,Femme,63,Nouveau,Kénitra,65
107,Yassine,Homme,63,Nouveau,Salé,75
108,Ghita,Femme,20,Nouveau,Mohammedia,85
109,Hajar,Femme,57,Nouveau,Casablanca,95
110,Houda,Femme,66,Fidèle,Laâyoune,55
111,Meryem,Femme,67,Nouveau,Salé,75
112,Nadia,Femme,40,Nouveau,Fès,60
113,Fatiha,Femme,21,Fidèle,Salé,75
114,Loubna,Femme,30,Fidèle,Mohammedia,85
115,Abdellah,Homme,27,Nouveau,Mohammedia,85
116,Siham,Femme,56,Nouveau,Agadir,70
117,Marouane,Homme,59,Nouveau,Mohammedia,85
118,Yasmine,Femme,28,Fidèle,Fès,60
119,Khadija,Femme,48,Fidèle,Marrakech,80
120,Ikram,Femme,44,Nouveau,Marrakech,80
121,Ilyas,Homme,53,Nouveau,Oujda,50
122,Othmane,Homme,41,Nouveau,Fès,60
123,Siham,Femme,33,Fidèle,Meknès,60
124,Safae,Femme,46,Nouveau,Mohammedia,85
125,Nouamane,Homme,67,Fidèle,Tanger,75
126,Siham,Femme,44,Nouveau,Laâyoune,55
127,Redouane,Homme,39,Nouveau,Marrakech,80
128,Houda,Femme,31,Nouveau,Kénitra,65
129,Abdellah,Homme,26,Nouveau,Laâyoune,55
130,Siham,Femme,55,Fidèle,Mohammedia,85
131,Ahmed,Homme,66,Nouveau,Fès,60
132,Mustapha,Homme,51,Nouveau,Agadir,70
133,Hiba,Femme,28,Fidèle,Casablanca,95
134,Ghali,Homme,60,Fidèle,Meknès,60
135,Siham,Femme,24,Nouveau,Meknès,60
136,Youssef,Homme,54,Nouveau,Meknès,60
137,Jalal,Homme,28,Fidèle,Laâyoune,55
138,Redouane,Homme,67,Nouveau,Tanger,75
139,Siham,Femme,41,Nouveau,Rabat,90
140,Oumaima,Femme,57,Fidèle,Tanger,75
